Name,Gender,Time
Kyle Chalmers,Male,47.9
Caeleb Dressel,Male,47.91
Duncan Scott,Male,48.01
Cameron McEvoy,Male,48.12
Santo Condorelli,Male,48.22
Joseph Schooling,Male,48.27
Damian Wierling,Male,48.35
Vladimir Morozov,Male,48.39
Pieter Timmers,Male,48.46
Luca Dotto,Male,48.47
Yuri Kisil,Male,48.49
Sebastiaan Verschuren,Male,48.51
Marcelo Chierighini,Male,48.53
Ning Zetao,Male,48.57
Clément Mignon,Male,48.57
Nathan Adrian,Male,48.58
Katsumi Nakamura,Male,48.61
Jérémy Stravius,Male,48.62
Glenn Surgeloose,Male,48.65
Kristian Golomeev,Male,48.68
Andrey Grechin,Male,48.75
Federico Grabich,Male,48.78
Dylan Carter,Male,48.8
Richárd Bohus,Male,48.86
Yu Hexin,Male,48.87
Dominik Kozma,Male,48.92
Shinri Shioura,Male,48.94
Nicolas Oliveira,Male,49.05
Benjamin Proud,Male,49.14
Simonas Bilis,Male,49.16
Oussama Sahnoune,Male,49.2
Park Tae-hwan,Male,49.24
Velimir Stjepanovi?,Male,49.24
Cristian Quintero,Male,49.25
Yauhen Tsurkin,Male,49.37
Anže Tav?ar,Male,49.38
Filippo Magnini,Male,49.4
Marius Radu,Male,49.57
Björn Hornikel,Male,49.62
Shane Ryan,Male,49.82
Aleksandar Nikolov,Male,50.08
Ari-Pekka Liukkonen,Male,50.14
Matthew Stanley,Male,50.14
Benjamin Hockin,Male,50.26
Igor Mogne,Male,50.65
Ziv Kalontarov,Male,50.65
Raphaël Stacchiotti,Male,50.79
Sean Gunn,Male,50.87
Bradley Vincent,Male,50.89
Matthew Abeysinghe,Male,50.96
Andrew Chetcuti,Male,51.37
Jhonny Pérez,Male,51.5
Nicholas Magana,Male,51.53
Thibaut Amani Danho,Male,52.78
Miguel Mena,Male,53.4
Rami Anis,Male,54.35
Sovijja Pou,Male,54.55
Sirish Gurung,Male,57.76
Robel Kiros Habte,Male,64.9
Cate Campbell,Female,52.78
Simone Manuel,Female,53.32
Sarah Sjöström,Female,53.37
Ranomi Kromowidjojo,Female,53.43
Penny Oleksiak,Female,53.53
Jeanette Ottesen,Female,53.53
Abbey Weitzeil,Female,53.54
Bronte Campbell,Female,53.71
Chantal Van Landeghem,Female,53.89
Charlotte Bonnet,Female,53.93
Pernille Blume,Female,54.15
Zhu Menghui,Female,54.15
Aliaksandra Herasimenia,Female,54.25
Etiene Medeiros,Female,54.38
Shen Duo,Female,54.41
Rikako Ikee,Female,54.5
Miki Uchida,Female,54.5
Arianna Vanderpool-Wallace,Female,54.56
Veronika Popova,Female,54.6
Femke Heemskerk,Female,54.63
Larissa Oliveira,Female,54.72
Béryl Gastaldello,Female,54.8
Maria Ugolkova,Female,54.85
Camille Cheng,Female,54.92
Julie Meynen,Female,55.09
Erika Ferraioli,Female,55.2
Susann Bjørnsen,Female,55.35
Nataliya Lovtsova,Female,55.37
Katarzyna Wilk,Female,55.44
Andrea Murez,Female,55.47
Nina Rangelova,Female,55.71
Natthanan Junkrajang,Female,56.24
Jasmine Alkhaldi,Female,56.3
Inés Remersaro,Female,57.85
Jade Ashleigh Howard,Female,58.47
Ana-Iulia Dasc?l,Female,58.72
Heather Arseth,Female,58.89
Tracy Keith-Matchitt,Female,58.9
Karen Riveros,Female,59
Ana Sofia Nóbrega,Female,59.23
Fatima Alkaramova,Female,59.41
Jovana Terzi?,Female,59.59
Nikol Merizaj,Female,59.99
Estellah Fils Rabetsara,Female,61.1
Yusra Mardini,Female,64.7
Aminath Shajan,Female,65.7
